engine_displacement,num_cylinders,horsepower,vehicle_weight,acceleration,model_year,origin,fuel_type,drivetrain,num_doors,fuel_efficiency_mpg
170,3,159,3413.433758606219,17.7,2003,Europe,Gasoline,All-wheel drive,0,13.231728906241411
130,5,97,3149.6649342200353,17.8,2007,USA,Gasoline,Front-wheel drive,0,13.688217435463793
170,,78,3079.03899736884,15.1,2018,Europe,Gasoline,Front-wheel drive,0,14.246340998160866
220,4,,2542.392401828378,20.2,2009,USA,Diesel,All-wheel drive,2,16.91273559598635
210,1,140,3460.870989989018,14.4,2009,Europe,Gasoline,All-wheel drive,2,12.488369121964562
190,3,,2484.883986036068,14.7,2008,Europe,Gasoline,All-wheel drive,-1,17.271818372724237
240,7,127,3006.5422872171457,22.2,2012,USA,Gasoline,Front-wheel drive,1,13.210412112385608
150,4,239,3638.6577802809,17.3,2020,USA,Diesel,All-wheel drive,1,12.848883861524026
250,1,174,2714.219309645285,10.3,2016,Asia,Diesel,Front-wheel drive,-1,16.823553726916543
150,4,123,3509.036569100613,10.2,2005,USA,Gasoline,Front-wheel drive,-1,12.298354983681604
230,5,100,3111.8101813891717,15.4,2014,Europe,Diesel,All-wheel drive,0,13.386605047290962
150,5,,1967.2004212521003,12.6,2014,USA,Diesel,Front-wheel drive,2,20.504446719890534
320,5,145,2783.8689742437728,15.1,2010,Asia,Diesel,All-wheel drive,1,16.17581958009284
170,1,193,2274.7351905647565,17.5,2000,Europe,Diesel,Front-wheel drive,0,18.792742345719034
200,6,160,3582.6873677151316,14.9,2007,Asia,Diesel,All-wheel drive,0,11.871091010445811
220,4,179,2631.0652035914763,16,2006,USA,Gasoline,All-wheel drive,1,16.756081170464494
160,3,180,2673.5529409560954,8.5,2013,Europe,Diesel,All-wheel drive,-1,17.516175727210882
190,6,132,2427.3118562098525,17.8,2011,USA,Diesel,Front-wheel drive,-1,17.65868533963579
250,2,110,2971.2145745989487,,2003,Europe,Gasoline,Front-wheel drive,1,14.735962194497768
180,1,126,2986.958657420011,17.9,2004,Europe,Gasoline,All-wheel drive,-1,15.097137105104313
150,3,197,2231.8081416029345,18.7,2011,Asia,Gasoline,Front-wheel drive,1,18.88908257097108
160,4,133,2659.431450757995,,2016,Asia,Gasoline,Front-wheel drive,-1,16.077730214491176
190,1,144,2438.8421255552466,16.4,2016,Europe,Diesel,Front-wheel drive,1,17.08040493384839
230,2,160,3342.6060274901347,12.9,2009,Europe,Gasoline,All-wheel drive,0,13.738380584666501
260,3,156,4267.390497388771,20,2004,USA,Diesel,Front-wheel drive,1,7.853194329416397
210,6,157,2860.206191293806,12.6,2013,USA,Gasoline,All-wheel drive,,15.906421807842525
180,8,160,3080.170161717871,10.6,2002,USA,Diesel,All-wheel drive,2,15.089880004688073
120,6,206,3467.355490131792,18.3,2016,USA,Gasoline,Front-wheel drive,-1,13.04899290040456
220,4,154,3335.0681874881448,14.8,2005,USA,Diesel,All-wheel drive,-1,13.411265956371402
230,4,132,2479.7829741497544,15.6,2014,Europe,Diesel,All-wheel drive,0,17.34901126810939
280,5,140,2598.598215530185,17.1,2022,USA,Gasoline,Front-wheel drive,0,16.852517863788954
160,4,153,3106.306111675653,15.8,2000,Europe,Gasoline,All-wheel drive,-1,14.04564452468013
40,5,136,3619.3707301766626,19.5,2017,Europe,Gasoline,All-wheel drive,-1,11.02937073424243
200,4,168,2946.9791685788814,18.6,2001,USA,Diesel,Front-wheel drive,0,15.76758556294088
150,2,149,2844.2275338857653,17.3,2014,Asia,Diesel,Front-wheel drive,0,15.353788201522017
160,3,127,2961.158679125447,14.8,2004,USA,Gasoline,Front-wheel drive,0,14.671771671571785
200,5,143,3040.2365213942894,14.2,2006,USA,Diesel,All-wheel drive,-1,15.01132504011616
80,3,132,3444.8921095893515,17.2,2023,Europe,Gasoline,Front-wheel drive,-1,11.704658142342613
190,5,158,3761.9940381922206,,2019,Asia,Gasoline,Front-wheel drive,1,11.645724047561528
240,6,176,2676.886843633655,14.5,2002,Europe,Gasoline,Front-wheel drive,-1,17.322851581349216
110,1,108,2292.675257052191,14.5,2015,Europe,Gasoline,Front-wheel drive,0,18.63000885913826
230,2,125,2563.9027023821623,18.1,2008,Europe,Gasoline,All-wheel drive,0,16.890273538222665
240,4,123,2612.0154112627533,10.5,2013,USA,Diesel,Front-wheel drive,-1,16.416020840488873
170,4,123,2957.6811098887447,14.4,2012,Asia,Diesel,All-wheel drive,-1,15.039796931634644
240,2,142,2544.5168017694277,12.9,2016,Asia,Gasoline,All-wheel drive,0,17.600327865900464
380,,139,1833.1964030710933,16.7,2022,USA,Gasoline,Front-wheel drive,-1,20.728616942029674
190,4,170,2607.6950038058926,20.8,2019,USA,Diesel,Front-wheel drive,1,15.932777017483826
270,1,135,3858.9146336751146,,2006,Europe,Gasoline,Front-wheel drive,2,10.0898180828745
190,5,202,2531.185247040718,16.2,2016,Asia,Gasoline,All-wheel drive,0,17.983505227568678
140,7,99,3602.664482911108,17,2015,Europe,Gasoline,All-wheel drive,1,11.25726765887053
220,6,156,3494.539764392151,16.9,2005,USA,Diesel,Front-wheel drive,,11.906123234382632
270,3,152,2730.9471044643847,,2015,Asia,Diesel,All-wheel drive,-1,15.820981654894679
200,4,148,3020.0554311841893,13,2006,USA,Diesel,Front-wheel drive,1,15.354315603784112
290,7,151,3715.0970820743396,8.9,2004,Europe,Diesel,All-wheel drive,0,12.47727027649097
180,6,155,1894.9115442646041,11.1,2022,USA,Diesel,All-wheel drive,1,21.35395717138927
110,4,146,3047.5782862531237,12.5,2022,USA,Diesel,Front-wheel drive,,15.489931554064501
250,2,199,3475.3397338282793,11.3,2001,USA,Diesel,Front-wheel drive,-2,13.693649129535178
210,5,128,3654.1395563912347,17.3,2015,Asia,Gasoline,Front-wheel drive,,11.550323928127572
230,8,103,2496.5486592559587,16.7,2019,USA,Gasoline,All-wheel drive,0,16.66713972255865
150,4,182,3444.1762239366262,,2023,USA,Gasoline,Front-wheel drive,-1,13.1821351382378
240,5,,2677.52170988898,13.2,2003,Asia,Diesel,Front-wheel drive,0,16.31743149857548
